City,Country,Lat,Lng,Date,Temp,Cloudiness,Humidity,Wind Speed
Vanimo,PG,-2.67,141.3,1563067614,81.41,85,73,2.75
Saskylakh,RU,71.97,114.09,1563067540,55.13,0,47,10.02
Propria,BR,-10.21,-36.84,1563067614,69.71,60,96,3.87
Sao Filipe,CV,14.9,-24.5,1563067509,74.21,17,84,18.12
Kailua,US,21.39,-157.74,1563067615,89.6,20,78,13.87
Kapaa,US,22.08,-159.32,1563067497,84.2,75,70,13.87
Airai,TL,-8.93,125.41,1563067559,76.01,0,52,2.48
Vardo,US,39.62,-77.74,1563067532,82.4,1,61,3.09
Najran,SA,17.54,44.22,1563067616,80.6,0,18,4.47
Rikitea,PF,-23.12,-134.97,1563067494,75.29,0,83,12.66
Bara,NG,10.41,10.6,1563067616,75.29,10,80,7.14
Honningsvag,NO,70.98,25.97,1563067617,45.23,100,77,4.5
Ust-Tsilma,RU,65.44,52.15,1563067617,53.33,78,76,3.24
Bud,NO,62.91,6.91,1563067617,52.0,43,71,4.7
Kautokeino,NO,69.01,23.04,1563067618,47.39,62,78,5.95
Itaituba,BR,-4.26,-55.99,1563067618,79.61,93,70,1.66
Tasiilaq,GL,65.61,-37.64,1563067559,35.6,0,93,5.82
Saint-Augustin,CA,45.63,-73.98,1563067549,77.0,90,93,2.24
Thompson,CA,55.74,-97.86,1563067427,66.2,90,72,12.75
Vadso,NO,70.07,29.75,1563067619,44.6,100,75,12.75
Sorong,ID,-0.86,131.25,1563067518,77.09,61,73,12.26
Chuy,UY,-33.69,-53.46,1563067561,51.17,72,87,9.13
Amapa,HN,15.09,-87.97,1563067619,84.2,40,70,10.29
Lavumisa,ZA,-27.31,31.88,1563067619,52.97,0,82,4.03
San Carlos de Bariloche,AR,-41.13,-71.31,1563067494,41.0,40,87,18.34
Nelson Bay,AU,-32.72,152.14,1563067620,57.99,0,65,21.92
Ushuaia,AR,-54.81,-68.31,1563067504,41.0,75,99,8.05
Christchurch,NZ,-43.53,172.64,1563067576,55.99,70,82,9.24
Jamestown,AU,-33.21,138.6,1563067500,46.67,93,87,10.38
Mount Gambier,AU,-37.83,140.78,1563067492,51.8,40,81,23.04
Grindavik,IS,63.84,-22.43,1563067546,54.0,75,93,5.82
Manokwari,ID,-0.87,134.08,1563067621,78.53,85,53,2.19
Yellowknife,CA,62.45,-114.38,1563067275,59.0,75,58,6.93
Boyolangu,ID,-8.09,111.9,1563067621,66.65,34,86,5.12
New Norfolk,AU,-42.78,147.06,1563067490,50.0,40,66,8.05
Mar del Plata,AR,-46.43,-67.52,1563067490,43.79,2,61,12.33
Norman Wells,CA,65.28,-126.83,1563067512,73.4,40,35,6.93
Grand Gaube,MU,-20.01,57.66,1563067622,71.6,75,53,11.41
Puerto Escondido,MX,15.86,-97.07,1563067622,80.6,90,83,6.93
Krasnyy Kut,RU,47.1,40.67,1563067623,58.01,0,72,3.69
Mentougou,CN,39.94,116.09,1563067623,90.0,0,57,8.95
Dikson,RU,73.51,80.55,1563067491,33.17,3,95,3.0
Novoomskiy,RU,54.84,73.3,1563067623,69.8,0,73,8.95
Antropovo,RU,55.25,37.65,1563067623,51.8,0,87,2.24
Cockburn Town,TC,21.46,-71.14,1563067567,82.85,0,77,17.76
Hobart,AU,-42.88,147.33,1563067495,50.0,40,66,8.05
Broome,GB,52.47,1.45,1563067556,59.0,5,87,2.24
Hermanus,ZA,-34.42,19.24,1563067572,54.0,0,97,9.66
Bronnoysund,NO,65.46,12.2,1563067624,50.0,99,100,4.7
Taltal,CL,-25.41,-70.49,1563067625,50.45,100,82,2.89
Zurrieq,MT,35.83,14.47,1563067625,78.8,0,88,13.87
Taoudenni,ML,22.68,-3.98,1563067562,99.23,27,15,12.62
Fort Frances,CA,48.61,-93.4,1563067420,77.0,1,61,3.44
Atuona,PF,-9.8,-139.03,1563067530,80.69,31,77,19.39
Hilo,US,19.71,-155.08,1563067501,84.2,90,54,10.29
Praia,BR,-20.25,-43.81,1563067506,64.4,0,87,1.25
East London,ZA,-33.02,27.91,1563067325,53.15,0,71,3.8
Busselton,AU,-33.64,115.35,1563067331,52.0,0,64,19.66
Chokurdakh,RU,70.62,147.9,1563067626,52.61,96,55,3.58
Panjab,AF,34.38,67.02,1563067626,47.21,0,43,5.93
Punta Arenas,CL,-53.16,-70.91,1563067531,37.4,90,100,8.05
Moree,AU,-29.46,149.84,1563067508,50.0,0,57,12.75
Khani,GE,41.96,42.96,1563067627,64.4,75,93,5.82
Pochutla,MX,15.74,-96.47,1563067516,81.0,90,83,6.93
Torbay,CA,47.66,-52.73,1563067564,55.0,90,100,11.41
Esperance,AU,-33.86,121.89,1563067587,48.2,90,93,10.29
Butaritari,KI,3.07,172.79,1563067517,84.11,79,64,6.69
Clyde River,CA,70.47,-68.59,1563067537,51.8,75,66,17.22
Mahebourg,MU,-20.41,57.7,1563067554,71.6,75,53,11.41
Barrow,AR,-38.31,-60.23,1563067509,46.13,37,60,5.66
Sinnamary,GF,5.38,-52.96,1563067571,79.61,20,80,11.97
Mundra,IN,22.84,69.73,1563067629,82.31,98,74,23.53
Kirakira,SB,-10.46,161.92,1563067629,81.41,100,81,8.95
Vung Tau,VN,10.35,107.08,1563067629,80.15,38,86,9.46
Alofi,NU,-19.06,-169.92,1563067521,77.0,90,69,17.22
Ankazoabo,MG,-22.29,44.51,1563067629,56.03,0,43,2.51
Togul,RU,53.47,85.91,1563067630,62.15,4,69,5.53
Port Alfred,ZA,-33.59,26.89,1563067544,57.0,0,93,3.91
Sarana,RU,56.48,57.73,1563067631,63.05,99,96,5.73
Harper,US,30.3,-99.24,1563067631,88.0,1,54,7.9
Puerto Ayora,EC,-0.74,-90.35,1563067518,78.8,20,50,8.05
Sur,OM,22.57,59.53,1563067537,77.27,21,76,20.47
Tefe,BR,-3.35,-64.71,1563067631,74.03,97,97,1.95
Bredasdorp,ZA,-34.53,20.04,1563067538,45.0,0,93,1.12
Dhanera,IN,24.51,72.02,1563067632,82.67,98,70,15.08
Race,ES,40.61,-3.58,1563067632,78.01,0,50,1.12
Faya,SA,18.39,42.45,1563067632,71.6,0,21,5.82
Avarua,CK,-21.21,-159.78,1563067520,71.6,75,68,11.41
Debre Birhan,ET,9.68,39.53,1563067633,50.63,64,93,0.56
Moose Factory,CA,51.26,-80.61,1563067633,57.2,90,93,5.82
Souillac,FR,45.6,-0.6,1563067533,68.0,0,52,2.24
Qaanaaq,GL,77.48,-69.36,1563067542,43.79,93,63,9.26
Codrington,AU,-28.95,153.24,1563067634,59.0,17,33,10.29
Te Karaka,NZ,-38.47,177.87,1563067634,53.15,89,86,14.0
Cape Town,ZA,-33.93,18.42,1563067291,54.0,20,100,8.05
Huhi,MX,20.72,-89.17,1563067634,87.01,90,70,6.93
Klaksvik,FO,62.23,-6.59,1563067502,50.0,90,100,11.65
Ambilobe,MG,-13.19,49.05,1563067635,68.27,8,76,7.47
Vaini,IN,15.34,74.49,1563067400,71.6,75,94,5.82
Longyearbyen,NO,78.22,15.63,1563067500,39.2,75,80,9.17
Bluff,AU,-23.58,149.07,1563067497,56.93,45,37,9.69
Hithadhoo,MV,-0.6,73.08,1563067523,83.57,2,75,11.61
Zhangye,CN,38.94,100.46,1563067574,63.95,55,44,6.31
Cherskiy,RU,68.75,161.3,1563067578,48.47,68,62,16.08
Salalah,OM,17.01,54.1,1563067637,78.8,90,94,6.93
Leningradskiy,RU,69.38,178.42,1563067551,40.19,82,92,13.78
Port Hedland,AU,-20.31,118.58,1563067637,71.6,0,27,24.16
Wanxian,CN,30.8,108.39,1563067637,73.31,31,88,3.24
Lebu,ET,8.96,38.73,1563067508,55.4,75,93,6.93
Ostersund,SE,63.18,14.64,1563067638,48.2,47,87,9.17
Ilulissat,GL,69.22,-51.1,1563067529,48.2,40,76,5.82
Pevek,RU,69.7,170.27,1563067503,34.43,100,97,11.54
Caravelas,BR,-17.73,-39.27,1563067570,70.97,0,81,6.55
Mataura,NZ,-46.19,168.86,1563067496,45.0,99,95,11.99
Castro,CL,-42.48,-73.76,1563067495,44.6,90,100,12.75
Kendal,ID,-6.92,110.2,1563067639,77.0,20,57,5.82
Dakar,SN,14.69,-17.45,1563067640,78.8,25,83,5.82
Halifax,CA,44.65,-63.58,1563067409,68.0,75,93,8.05
Gat,SN,14.69,-16.54,1563067640,78.8,45,83,5.82
Tongliao,CN,43.61,122.27,1563067641,77.27,66,57,5.7
Port Elizabeth,US,39.31,-74.98,1563067520,80.6,1,83,5.97
Pizhanka,RU,57.46,48.54,1563067641,53.87,41,92,3.65
Victoria,BN,5.28,115.24,1563067550,80.6,75,83,3.36
